Nodes,Levels,Times,Scenarios,NumCars
26,9,3,1,0.0451429629629628
26,9,3,2,0.0451429629629628
26,9,3,3,0.0451429629629628
26,9,3,4,0.0451429629629628
26,9,3,5,0.0451429629629628
26,9,3,6,0.0451429629629628
26,9,3,7,0.0451429629629628
26,9,3,8,0.0451429629629628
26,9,3,9,0.0451429629629628
26,9,3,10,0.0451429629629628
26,9,3,11,0.0451429629629628
26,9,3,12,0.0451429629629628
26,9,3,13,0.0451429629629628
26,9,3,14,0.0451429629629628
26,9,3,15,0.0451429629629628
26,9,3,16,0.0451429629629628
26,9,3,17,0.0451429629629628
26,9,3,18,0.0451429629629628
26,9,3,19,0.0451429629629628
26,9,4,0,0.3725762962962961
26,9,4,1,0.0451429629629628
26,9,4,2,0.0451429629629628
26,9,4,3,0.0451429629629628
26,9,4,4,0.0451429629629628
26,9,4,5,0.0451429629629628
26,9,4,6,0.0451429629629628
26,9,4,7,0.0451429629629628
26,9,4,8,0.0451429629629628
26,9,4,9,0.0451429629629628
26,9,4,10,0.3725762962962961
26,9,4,11,0.0451429629629628
26,9,4,12,0.0451429629629628
26,9,4,13,0.0451429629629628
26,9,4,14,0.0451429629629628
26,9,4,15,0.3725762962962961
26,9,4,16,0.0451429629629628
26,9,4,17,0.0451429629629628
26,9,4,18,0.0451429629629628
26,9,4,19,0.3725762962962961
26,9,5,0,0.3725762962962961
26,9,5,1,0.0451429629629628
26,9,5,2,0.747539259259259
26,9,5,3,0.0451429629629628
26,9,5,4,0.747539259259259
26,9,5,5,0.747539259259259
26,9,5,6,0.747539259259259
26,9,5,7,0.747539259259259
26,9,5,8,0.747539259259259
26,9,5,9,0.747539259259259
26,9,5,10,0.3725762962962961
26,9,5,11,0.747539259259259
26,9,5,12,0.747539259259259
26,9,5,13,0.747539259259259
26,9,5,14,0.0451429629629628
26,9,5,15,0.3725762962962961
26,9,5,16,0.0451429629629628
26,9,5,17,0.0451429629629628
26,9,5,18,0.747539259259259
26,9,5,19,0.3725762962962961
26,9,6,0,0.3725762962962961
26,9,6,1,0.0451429629629628
26,9,6,2,0.747539259259259
26,9,6,3,0.0451429629629628
26,9,6,4,0.747539259259259
26,9,6,5,0.747539259259259
26,9,6,6,0.747539259259259
26,9,6,7,0.747539259259259
26,9,6,8,0.747539259259259
26,9,6,9,0.747539259259259
26,9,6,10,0.3725762962962961
26,9,6,11,0.747539259259259
26,9,6,12,0.747539259259259
26,9,6,13,0.747539259259259
26,9,6,14,0.0451429629629628
26,9,6,15,0.3725762962962961
26,9,6,16,0.0451429629629628
26,9,6,17,0.0451429629629628
26,9,6,18,0.747539259259259
26,9,6,19,0.3725762962962961
26,9,7,0,0.3725762962962961
26,9,7,1,0.0451429629629628
26,9,7,2,0.747539259259259
26,9,7,3,0.0451429629629628
26,9,7,4,0.747539259259259
26,9,7,5,0.747539259259259
26,9,7,6,0.747539259259259
26,9,7,7,0.747539259259259
26,9,7,8,0.747539259259259
26,9,7,9,0.747539259259259
26,9,7,10,0.3725762962962961
26,9,7,11,0.747539259259259
26,9,7,12,0.747539259259259
26,9,7,13,0.747539259259259
26,9,7,14,0.0451429629629628
26,9,7,15,0.3725762962962961
26,9,7,16,0.0451429629629628
26,9,7,17,0.0451429629629628
26,9,7,18,0.747539259259259
26,9,7,19,0.3725762962962961
26,9,8,0,0.3725762962962961
26,9,8,1,0.0451429629629628
26,9,8,2,0.747539259259259
26,9,8,3,0.0451429629629628
26,9,8,4,0.747539259259259
26,9,8,5,0.747539259259259
26,9,8,6,0.747539259259259
26,9,8,7,0.747539259259259
26,9,8,8,0.747539259259259
26,9,8,9,0.747539259259259
26,9,8,10,0.3725762962962961
26,9,8,11,0.747539259259259
26,9,8,12,0.747539259259259
26,9,8,13,0.747539259259259
26,9,8,14,0.0451429629629628
26,9,8,15,0.3725762962962961
26,9,8,16,0.0451429629629628
26,9,8,17,0.0451429629629628
26,9,8,18,0.747539259259259
26,9,8,19,0.3725762962962961
26,10,0,0,0.0
26,10,0,1,0.0
26,10,0,2,0.0
26,10,0,3,0.0
26,10,0,4,0.0
26,10,0,5,0.0
26,10,0,6,0.0
26,10,0,7,0.0
26,10,0,8,0.0
26,10,0,9,0.0
26,10,0,10,0.0
26,10,0,11,0.0
26,10,0,12,0.0
26,10,0,13,0.0
26,10,0,14,0.0
26,10,0,15,0.0
26,10,0,16,0.0
26,10,0,17,0.0
26,10,0,18,0.0
26,10,0,19,0.0
26,10,1,0,0.0
26,10,1,1,0.0
26,10,1,2,0.0
26,10,1,3,0.0
26,10,1,4,0.0
26,10,1,5,0.0
26,10,1,6,0.0
26,10,1,7,0.0
26,10,1,8,0.0
26,10,1,9,0.0
26,10,1,10,0.0
26,10,1,11,0.0
26,10,1,12,0.0
26,10,1,13,0.0
26,10,1,14,0.0
26,10,1,15,0.0
26,10,1,16,0.0
26,10,1,17,0.0
26,10,1,18,0.0
26,10,1,19,0.0
26,10,2,0,0.0214785185185185
26,10,2,1,0.0214785185185185
26,10,2,2,0.0214785185185185
26,10,2,3,0.0214785185185185
26,10,2,4,0.0214785185185185
26,10,2,5,0.0214785185185185
26,10,2,6,0.0214785185185185
26,10,2,7,0.0214785185185185
26,10,2,8,0.0214785185185185
26,10,2,9,0.0214785185185185
26,10,2,10,0.0214785185185185
26,10,2,11,0.0214785185185185
26,10,2,12,0.0214785185185185
26,10,2,13,0.0214785185185185
26,10,2,14,0.0214785185185185
26,10,2,15,0.0214785185185185
26,10,2,16,0.0214785185185185
26,10,2,17,0.0214785185185185
26,10,2,18,0.0214785185185185
26,10,2,19,0.0214785185185185
26,10,3,0,0.048320740740740706
26,10,3,1,0.048320740740740706
26,10,3,2,0.048320740740740706
26,10,3,3,0.048320740740740706
26,10,3,4,0.048320740740740706
26,10,3,5,0.048320740740740706
26,10,3,6,0.048320740740740706
26,10,3,7,0.048320740740740706
26,10,3,8,0.048320740740740706
26,10,3,9,0.048320740740740706
26,10,3,10,0.048320740740740706
26,10,3,11,0.048320740740740706
26,10,3,12,0.048320740740740706
26,10,3,13,0.048320740740740706
26,10,3,14,0.048320740740740706
26,10,3,15,0.048320740740740706
26,10,3,16,0.048320740740740706
26,10,3,17,0.048320740740740706
26,10,3,18,0.048320740740740706
26,10,3,19,0.048320740740740706
26,10,4,0,0.048320740740740706
26,10,4,1,0.396654074074074
26,10,4,2,0.396654074074074
26,10,4,3,0.048320740740740706
26,10,4,4,0.396654074074074
26,10,4,5,0.396654074074074
26,10,4,6,0.396654074074074
26,10,4,7,0.396654074074074
26,10,4,8,0.396654074074074
26,10,4,9,0.396654074074074
26,10,4,10,0.396654074074074
26,10,4,11,0.396654074074074
26,10,4,12,0.396654074074074
26,10,4,13,0.396654074074074
26,10,4,14,0.396654074074074
26,10,4,15,0.048320740740740706
26,10,4,16,0.048320740740740706
26,10,4,17,0.048320740740740706
26,10,4,18,0.396654074074074
26,10,4,19,0.396654074074074
26,10,5,0,0.048320740740740706
26,10,5,1,0.396654074074074
26,10,5,2,0.396654074074074
26,10,5,3,0.048320740740740706
26,10,5,4,0.396654074074074
26,10,5,5,0.396654074074074
26,10,5,6,0.396654074074074
26,10,5,7,0.396654074074074
26,10,5,8,0.396654074074074
26,10,5,9,0.396654074074074
26,10,5,10,0.396654074074074
26,10,5,11,0.396654074074074
26,10,5,12,0.396654074074074
26,10,5,13,0.396654074074074
26,10,5,14,0.396654074074074
26,10,5,15,0.048320740740740706
26,10,5,16,0.048320740740740706
26,10,5,17,0.5088592592592616
26,10,5,18,0.396654074074074
26,10,5,19,0.396654074074074
26,10,6,0,0.048320740740740706
26,10,6,1,0.396654074074074
26,10,6,2,0.396654074074074
26,10,6,3,0.048320740740740706
26,10,6,4,0.396654074074074
26,10,6,5,0.396654074074074
26,10,6,6,0.396654074074074
26,10,6,7,0.396654074074074
26,10,6,8,0.396654074074074
26,10,6,9,0.396654074074074
26,10,6,10,0.396654074074074
26,10,6,11,0.396654074074074
26,10,6,12,0.396654074074074
26,10,6,13,0.396654074074074
26,10,6,14,0.396654074074074
26,10,6,15,0.396654074074074
26,10,6,16,0.048320740740740706
26,10,6,17,0.5088592592592616
26,10,6,18,0.396654074074074
26,10,6,19,0.396654074074074
26,10,7,0,0.3599874074074075
26,10,7,1,0.396654074074074
26,10,7,2,0.396654074074074
26,10,7,3,0.048320740740740706
26,10,7,4,0.396654074074074
26,10,7,5,0.396654074074074
26,10,7,6,0.396654074074074
26,10,7,7,0.396654074074074
26,10,7,8,0.396654074074074
26,10,7,9,0.396654074074074
26,10,7,10,0.6967911111111109
26,10,7,11,0.396654074074074
26,10,7,12,0.396654074074074
26,10,7,13,0.396654074074074
26,10,7,14,0.396654074074074
26,10,7,15,0.396654074074074
26,10,7,16,0.048320740740740706
26,10,7,17,0.5088592592592616
26,10,7,18,0.396654074074074
26,10,7,19,0.6967911111111109
26,10,8,0,0.3599874074074075
26,10,8,1,0.396654074074074
26,10,8,2,0.396654074074074
26,10,8,3,0.37838740740741955
26,10,8,4,0.396654074074074
26,10,8,5,0.396654074074074
26,10,8,6,0.396654074074074
26,10,8,7,0.396654074074074
26,10,8,8,0.396654074074074
26,10,8,9,0.396654074074074
26,10,8,10,0.6967911111111109
26,10,8,11,0.396654074074074
26,10,8,12,0.396654074074074
26,10,8,13,0.396654074074074
26,10,8,14,0.396654074074074
26,10,8,15,0.396654074074074
26,10,8,16,0.396654074074074
26,10,8,17,0.5088592592592616
26,10,8,18,0.396654074074074
26,10,8,19,0.6967911111111109
