Edges,From,To,Scenario,Time,Probability
53,17,16,6,,0.05
54,18,7,6,,0.05
55,19,18,6,,0.05
56,20,19,6,,0.05
57,21,8,6,,0.05
58,22,21,6,,0.05
59,23,22,6,,0.05
60,24,23,6,,0.05
61,25,6,6,,0.05
62,25,7,6,,0.05
63,25,11,6,,0.05
64,26,17,6,,0.05
33,2,1,7,7.362988281,0.05
34,3,2,7,12.01478373,0.05
35,4,3,7,,0.05
36,5,4,7,,0.05
37,6,5,7,,0.05
38,7,6,7,,0.05
39,8,7,7,,0.05
40,1,8,7,,0.05
41,9,4,7,,0.05
42,9,5,7,,0.05
43,10,2,7,9.03155416,0.05
44,10,3,7,,0.05
45,11,10,7,,0.05
46,11,5,7,,0.05
47,11,6,7,,0.05
48,12,4,7,,0.05
49,13,12,7,,0.05
50,14,13,7,,0.05
51,15,14,7,,0.05
52,16,9,7,,0.05
53,17,16,7,,0.05
54,18,7,7,,0.05
55,19,18,7,,0.05
56,20,19,7,,0.05
57,21,8,7,,0.05
58,22,21,7,,0.05
59,23,22,7,,0.05
60,24,23,7,,0.05
61,25,6,7,,0.05
62,25,7,7,,0.05
63,25,11,7,,0.05
64,26,17,7,,0.05
33,2,1,8,,0.05
34,3,2,8,,0.05
35,4,3,8,,0.05
36,5,4,8,,0.05
37,6,5,8,,0.05
38,7,6,8,20.66908569,0.05
39,8,7,8,5.076166789,0.05
40,1,8,8,,0.05
41,9,4,8,,0.05
42,9,5,8,,0.05
43,10,2,8,,0.05
44,10,3,8,,0.05
45,11,10,8,,0.05
46,11,5,8,,0.05
47,11,6,8,,0.05
48,12,4,8,,0.05
49,13,12,8,,0.05
50,14,13,8,,0.05
51,15,14,8,,0.05
52,16,9,8,,0.05
53,17,16,8,,0.05
54,18,7,8,20.2815918,0.05
55,19,18,8,,0.05
56,20,19,8,,0.05
57,21,8,8,,0.05
58,22,21,8,,0.05
59,23,22,8,,0.05
60,24,23,8,,0.05
61,25,6,8,13.22608236,0.05
62,25,7,8,3.0115249630000003,0.05
63,25,11,8,13.07747091,0.05
64,26,17,8,,0.05
33,2,1,9,,0.05
34,3,2,9,,0.05
35,4,3,9,,0.05
36,5,4,9,,0.05
37,6,5,9,,0.05
38,7,6,9,,0.05
39,8,7,9,2.177982076,0.05
40,1,8,9,5.532698059,0.05
41,9,4,9,,0.05
42,9,5,9,,0.05
43,10,2,9,,0.05
44,10,3,9,,0.05
45,11,10,9,,0.05
46,11,5,9,,0.05
47,11,6,9,,0.05
48,12,4,9,,0.05
49,13,12,9,,0.05
50,14,13,9,,0.05
51,15,14,9,,0.05
52,16,9,9,,0.05
53,17,16,9,,0.05
54,18,7,9,,0.05
55,19,18,9,,0.05
56,20,19,9,,0.05
57,21,8,9,11.19992676,0.05
58,22,21,9,,0.05
59,23,22,9,,0.05
60,24,23,9,,0.05
61,25,6,9,,0.05
62,25,7,9,16.87202555,0.05
63,25,11,9,,0.05
64,26,17,9,,0.05
33,2,1,10,,0.05
34,3,2,10,,0.05
35,4,3,10,,0.05
36,5,4,10,,0.05
37,6,5,10,,0.05
38,7,6,10,,0.05
39,8,7,10,10.96569519,0.05
40,1,8,10,8.411534627,0.05
41,9,4,10,,0.05
42,9,5,10,,0.05
43,10,2,10,,0.05
44,10,3,10,,0.05
45,11,10,10,,0.05
46,11,5,10,,0.05
47,11,6,10,,0.05
48,12,4,10,,0.05
49,13,12,10,,0.05
50,14,13,10,,0.05
51,15,14,10,,0.05
52,16,9,10,,0.05
53,17,16,10,,0.05
54,18,7,10,,0.05
55,19,18,10,,0.05
56,20,19,10,,0.05
57,21,8,10,16.01913045,0.05
58,22,21,10,,0.05
59,23,22,10,,0.05
60,24,23,10,,0.05
61,25,6,10,,0.05
62,25,7,10,,0.05
63,25,11,10,,0.05
64,26,17,10,,0.05
33,2,1,11,,0.05
34,3,2,11,18.02646484,0.05
35,4,3,11,12.61953125,0.05
36,5,4,11,16.34484456,0.05
37,6,5,11,,0.05
38,7,6,11,,0.05
39,8,7,11,,0.05
40,1,8,11,,0.05
41,9,4,11,,0.05
42,9,5,11,,0.05
43,10,2,11,2.720661418,0.05
44,10,3,11,1.660860189,0.05
45,11,10,11,0.5,0.05
46,11,5,11,,0.05
47,11,6,11,,0.05
48,12,4,11,,0.05
49,13,12,11,,0.05
50,14,13,11,,0.05
51,15,14,11,,0.05
52,16,9,11,,0.05
53,17,16,11,,0.05
54,18,7,11,,0.05
55,19,18,11,,0.05
56,20,19,11,,0.05
57,21,8,11,,0.05
58,22,21,11,,0.05
59,23,22,11,,0.05
60,24,23,11,,0.05
61,25,6,11,,0.05
62,25,7,11,,0.05
63,25,11,11,,0.05
64,26,17,11,,0.05
33,2,1,12,11.39220276,0.05
34,3,2,12,2.419035339,0.05
35,4,3,12,,0.05
36,5,4,12,,0.05
37,6,5,12,,0.05
38,7,6,12,,0.05
39,8,7,12,,0.05
40,1,8,12,,0.05
41,9,4,12,,0.05
42,9,5,12,,0.05
43,10,2,12,0.5,0.05
44,10,3,12,,0.05
45,11,10,12,,0.05
46,11,5,12,,0.05
47,11,6,12,,0.05
48,12,4,12,,0.05
49,13,12,12,,0.05
50,14,13,12,,0.05
